Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCALM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATBMiniaPipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDBA-UD,0.0,0.0003168651585563875,1146.0,0.0,0.0,9115.0,0.0019127323975109088,10.0,0.873282996921829,0.23277310924369748,2.0,3.0,0.9975863960504663,1.1371365880416895,0.8772793053545586
MEGAHIT,0.0,0.0003179143809357133,1049.0,0.0,0.0,9036.0,0.0018961546839175614,8.0,0.9860490846466394,0.9599609375,0.0,0.0,1.0,1.010181496237273,0.9899211218229623
MetaHipMer2,0.0,0.00028370973136969266,1352.0,0.0,0.0,1352.0,0.00028370973136969266,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
metaSPAdes,0.0,0.00032840660472897116,1151.0,0.0,0.0,8622.0,0.0018092790709093862,8.0,0.9176401752921148,0.5241779497098646,1.0,1.0,0.9998840176293203,1.078056135467409,0.9274878967186659
MINIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAdes,0.0,0.00032840660472897116,1147.0,0.0,0.0,26727.0,0.0056085133064480595,27.0,0.8542781934681432,0.217828418230563,3.0,5.0,0.9998877539566731,1.1909679350469562,0.8395589205491502
Unicycler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VelvetOptimiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
