Assembler,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events
ABySS,0.0771028538077452,157988.0,157988.0,1.0,4703394.0,0.9881607127775306,68.0,0.9969428146588736,0.9037135278514589,0.0,0.0
BCALM2,0.0021017928267600835,2317.0,1499.0,0.0,3098046.0,0.6508847320844432,1479.0,1.0,1.0,0.0,0.0
GATBMiniaPipeline,0.07709108847404883,64572.0,60374.0,0.0,4652574.0,0.9774836724480676,158.0,0.999518621556184,0.9376324040335565,1.0,1.0
IDBA-UD,0.019672688416566768,25944.0,26117.0,0.0,4581227.0,0.9624940070331484,386.0,0.9932718572358693,0.6016016016016016,9.0,14.0
MEGAHIT,0.08749878669996256,120785.0,120785.0,0.0,4671620.0,0.9814851464763036,102.0,0.9995155461576645,0.9725730688935282,1.0,2.0
MetaHipMer2,0.05948510697839759,64529.0,60329.0,0.0,4641887.0,0.9752383845692606,162.0,1.0,1.0,0.0,0.0
metaSPAdes,0.07435480800866265,164359.0,157908.0,0.0,4680545.0,0.9833602465341638,55.0,0.9994596776795499,0.9921052631578947,0.0,0.0
MINIA,0.011955679987965744,4996.0,3551.0,0.0,3826699.0,0.8039712623320656,1083.0,0.9999743328439881,0.9900611620795107,0.0,0.0
SKESA,0.05944350811997111,60912.0,60131.0,0.0,4576718.0,0.9615466875753454,157.0,0.9964234262777867,0.6337991468663746,2.0,3.0
SPAdes,0.08224745606173102,164404.0,157954.0,0.0,4666050.0,0.9803149159640031,60.0,0.9996253327290537,0.9928894245254595,0.0,0.0
Unicycler,0.11135005943594468,223960.0,223960.0,0.0,4660116.0,0.9790682107826763,50.0,0.9998051972367619,0.994833255049319,0.0,0.0
VelvetOptimiser,0.011955679987965744,5129.0,3737.0,0.0,3862033.0,0.8113947677039909,1058.0,0.9999844566616535,0.9939024390243902,0.0,0.0
